Fullname;Email;Telefon;Adresse;unicode
Anabel Ney;anabel.ney@hotmail.com;+43-2824-0834;Maierhof 6, Viehhofen, Steiermark;؄
Ceyda Falter;ceyda.falter@hotmail.com;0266125038;Klamm 25c, Trieben, Wien;🐝
Berkay Kastner;berkay.kastner85@gmail.com;+43 91554859;Bahnstraße (Gerhaus) 98a, Öblarn, Burgenland
Robert Hartlieb;robert_hartlieb46@hotmail.com;09141 3614;Lackenweg 12c, Bergern im Dunkelsteinerwald, Steiermark
Pius Wilhelm;pius_wilhelm32@hotmail.com;+43-1-5477702;Ötzbruck 16c, Lödersdorf, Steiermark
Lilian Dehmel;lilian.dehmel51@yahoo.com;02873 8475;Hussovits Gasse 59b, Unterstinkenbrunn, Steiermark
Herr Cora Steding;cora.steding70@gmail.com;013086818;Berggasse 56, Ort im Innkreis, Tirol
Finia Östringer;finia.ostringer66@yahoo.com;+43-1-1338330;Lindenweg 2, Kindberg, Vorarlberg
Luk Sievers;luk.sievers27@yahoo.com;+43 53431654;Reitbauernstraße 942, Pollham, Tirol
Selma Döring;selma.doring@gmail.com;+43-1-4435717;Höggen 37b, Oberstorcha, Tirol
Lias Polifka;lias_polifka@gmail.com;+43 99070403;Unterer Sonnrainweg 4, Viehhofen, Steiermark
Yannic Kappler;yannic_kappler54@gmail.com;+43-8726-0648;Janzgasse 3, Vitis, Burgenland
Eliah Zauber;eliah.zauber32@hotmail.com;0713190721;Fuchsgrubenweg 53c, Übersaxen, Kärnten
Dr. Titus Werner;titus.werner66@hotmail.com;+43 75609162;Klamm 95, Fritzens, Vorarlberg
Laila Kleiss;laila_kleiss52@gmail.com;+43 07667896;Hochhaus Neue Donau 89b, Taxenbach, Oberösterreich
Pierre Herms;pierre.herms56@yahoo.com;+4319831643;Kindergartenstraße 45, Zell an der Pram, Wien
Jane Weiss;jane.weiss@gmail.com;+43-5385-4494;Leifling 5, Bregenz, Vorarlberg
Lea Kelm;lea_kelm@hotmail.com;010000194;Seeblick 3, Lavamünd, Tirol
Valentin Haupt;valentin.haupt61@hotmail.com;01 6302184;Janzgasse 83, Bergern im Dunkelsteinerwald, Vorarlberg
Dr. Malena Hackelbusch;malena_hackelbusch@hotmail.com;+4314113930;Privatweg 44c, Übelbach, Salzburg
Leah Garatva;leah.garatva@hotmail.com;+43-4369-7699;Lichtensternsiedlung V 56b, St. Pölten, Salzburg
Leonard Weyel;leonard_weyel65@yahoo.com;+43-1-0194505;Paul Peters-Gasse 17, Aigen im Mühlkreis, Wien
